epoch,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_f1_micro,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_micro
1,0.35709775435372265,0.830354181255298,0.7849146490552563,0.7289542405558576,0.7492682374463691,0.830354181255298,0.3214592725987563,0.8492923485183547,0.8049029061865897,0.7745935970842064,0.7876410387045285,0.8492923485183547
2,0.3214814213915939,0.8515460877897763,0.8126713819493308,0.7689634613731184,0.7866431396463884,0.8515460877897763,0.318131093698653,0.8528306059265811,0.8086799660441426,0.7827805907347357,0.7942085930273164,0.8528306059265811
3,0.31539149497865737,0.8547525153871669,0.815818181073781,0.7765285462804148,0.7928301635053012,0.8547525153871669,0.32151131013598605,0.8487394957983193,0.8186335466152747,0.7495391925878829,0.7741259236101785,0.8487394957983193
4,0.31240512926091807,0.8577378100468065,0.8215968065696333,0.7784632129101643,0.7961127372767786,0.8577378100468065,0.31740008139046144,0.8500663423264042,0.8108575297921147,0.7659813966369012,0.783991286705314,0.8500663423264042
5,0.31016216811108605,0.8563004459514245,0.8195615146718567,0.7762116248602852,0.7938970562976044,0.8563004459514245,0.31782885645802494,0.8513931888544891,0.8093821210686747,0.7744938628868292,0.7892155597858794,0.8513931888544891
6,0.309206183976299,0.8595805845280654,0.8240560022268831,0.781582494072592,0.7990569325755087,0.8595805845280654,0.31838582231375245,0.8513931888544891,0.8267208001484816,0.7490588548520113,0.7757786545585912,0.8513931888544891
7,0.3072222897018381,0.8587329082666864,0.8226734532333939,0.7805703463471574,0.7979023778456764,0.8587329082666864,0.31647973675371427,0.8521671826625387,0.8183841412117411,0.7621412200814626,0.7835939820302777,0.8521671826625387
8,0.303148824343595,0.8607968156856964,0.8260097390263685,0.7830888899899304,0.8007396986907516,0.8607968156856964,0.3175730642585404,0.8513931888544891,0.8089549420526688,0.775391569052764,0.7896450667535004,0.8513931888544891
9,0.302101375835194,0.8599859949139425,0.8251249581606724,0.7814033530112107,0.7992998171749865,0.8599859949139425,0.31826536542596356,0.8503980539584255,0.8093170177086612,0.7702415653434782,0.7863791185065134,0.8503980539584255
10,0.3006012452990712,0.8625290236980798,0.8290810963381634,0.7847887409121578,0.8029336192166074,0.8625290236980798,0.31681773756547926,0.8523883237505528,0.820344355967479,0.7601935663341953,0.7827264139305709,0.8523883237505528
11,0.2999105000673409,0.862565879187705,0.8285225197374324,0.7858102260357116,0.8034313339647958,0.862565879187705,0.3224835676173624,0.8505086245024326,0.8022833917394259,0.7882691856487967,0.7948097927284044,0.8505086245024326
12,0.2961690687968043,0.8642980872000885,0.8308912433902347,0.7886067603782465,0.8061217418696218,0.8642980872000885,0.3222242285592637,0.8507297655904467,0.8157905049410359,0.7605872884780667,0.7816886222534061,0.8507297655904467
13,0.29593862071718463,0.8649246305237165,0.8313976026236061,0.7901697963769584,0.8073388858784393,0.8649246305237165,0.3203794073209674,0.8495134896063689,0.8089690432553156,0.767110088647008,0.784143308027877,0.8495134896063689
14,0.2936862044474916,0.8659565842332215,0.8338471142904464,0.7902077616620933,0.8082144231895407,0.8659565842332215,0.3200170093474268,0.8508403361344538,0.8124590630170987,0.7663462578489435,0.7847647339897641,0.8508403361344538
15,0.29163964716006746,0.8672096708804776,0.833247053171591,0.7958761452247751,0.811741016441036,0.8672096708804776,0.32043522525181656,0.8513931888544891,0.8150119662810018,0.764319859672902,0.7841452011193708,0.8513931888544891
16,0.2915102639762607,0.8675782257767295,0.8359180918060984,0.7930304939093787,0.8108190115301901,0.8675782257767295,0.32387372482302756,0.8494029190623618,0.8092401015652062,0.7661388854944498,0.783568664692031,0.8494029190623618
17,0.2897959207783744,0.8677993587144806,0.8361593359419182,0.7934765905636538,0.8112002547559005,0.8677993587144806,0.3257626262532563,0.8491817779743477,0.8084940994749397,0.7665903622984924,0.7836297300503747,0.8491817779743477
18,0.28779577195778383,0.8676519367559798,0.8356394618716099,0.7937275345042909,0.8111854881809066,0.8676519367559798,0.3276015015987104,0.8503980539584255,0.8099411148107042,0.7690446237888986,0.7857856769638951,0.8503980539584255
19,0.2867699018471039,0.8682784800796078,0.8371109117172508,0.7937950931116742,0.8117433827973215,0.8682784800796078,0.32465446528503716,0.8507297655904467,0.8141388404095429,0.7631307892815484,0.7830258985621641,0.8507297655904467
20,0.2839839338269942,0.8701212545608669,0.8398105792083155,0.7964657310567035,0.8144627462456765,0.8701212545608669,0.32967834089615344,0.849734630694383,0.8147225878107409,0.7584296386552302,0.7797921677272299,0.849734630694383
21,0.2851456474478903,0.8694947112372388,0.8395457476529176,0.794603599579726,0.8131252074073821,0.8694947112372388,0.3278057349171063,0.8495134896063689,0.8101169392065339,0.7650154409264935,0.7830800911837044,0.8495134896063689
22,0.2809532524260182,0.8710426418014964,0.8403992980413082,0.7989226580727145,0.8162972739712551,0.8710426418014964,0.3290295447595665,0.8516143299425033,0.8110672227223457,0.7720973560565945,0.7882256657822326,0.8516143299425033
23,0.2810068717659216,0.8713374857184978,0.8413891523763752,0.7985204686841956,0.8163801103368602,0.8713374857184978,0.32904276734218824,0.8515037593984962,0.8102486938759945,0.7732208006245506,0.7886870853661347,0.8515037593984962
24,0.28070128951462664,0.8719271735525006,0.8405006886240787,0.8020031250956328,0.8183466404554984,0.8719271735525006,0.3293032420651673,0.8484077841662981,0.8062615168762027,0.7675720603353522,0.7835371555598152,0.8484077841662981
