model,accuracy,precision_macro,recall_macro,f1_macro,f1_micro
Majority Class,0.7521282476506357,0.37606412382531784,0.5,0.4292655224634023,0.7521282476506357
Random Prior,0.6311774461028192,0.5023070921043894,0.5022778492932816,0.5022777621478448,0.6311774461028192
Logistic Regression,0.8455500276395799,0.8037072817985644,0.7602165400870661,0.7776629305510708,0.8455500276395799
