parameter,value,best_epoch,val_accuracy,val_f1_macro,test_accuracy,test_f1_macro,is_best_within_parameter
learning_rate,0.1,2,0.7652587350729766,0.4832789285264952,0.7662797125483692,0.4882354093617837,False
learning_rate,0.01,10,0.8512826183104821,0.7900219108306819,0.8515201768933113,0.7905528890191624,False
learning_rate,0.001,11,0.8505086245024326,0.7948097927284044,0.8507462686567164,0.7946651394233919,True
learning_rate,0.0001,9,0.8524988942945599,0.7941180967671033,0.8499723604201216,0.7901263826103684,False
dropout,0.1,5,0.8538257408226448,0.7961710009213432,0.8475400773908237,0.7860866778858762,True
dropout,0.3,11,0.8505086245024326,0.7948097927284044,0.8507462686567164,0.7946651394233919,False
dropout,0.5,11,0.8524988942945599,0.7949918501047311,0.8503040353786623,0.7912442208733654,False
